id,polarity,sentiment_label,sentiment_binary,user,date,date_parsed,year,month,hour,text,text_clean,text_length,word_count,has_mention,has_hashtag,has_url
1974671194,0,negative,0,simba98,Sat May 30 13:36:31 PDT 2009,2009-05-30 13:36:31,2009,5,13,@xnausikaax oh no! where did u order from? that's horrible ,oh no! where did u order from? that's horrible,59,10,1,0,0
1997882236,0,negative,0,Seve76,Mon Jun 01 17:37:11 PDT 2009,2009-06-01 17:37:11,2009,6,17,A great hard training weekend is over.  a couple days of rest and lets do it again!  Lots of computer time to put in now ,A great hard training weekend is over. a couple days of rest and lets do it again! Lots of computer time to put in now,121,25,0,0,0
2177756662,0,negative,0,x__claireyy__x,Mon Jun 15 06:39:05 PDT 2009,2009-06-15 06:39:05,2009,6,6,"Right, off to work  Only 5 hours to go until I'm free xD","Right, off to work Only 5 hours to go until I'm free xD",56,13,0,0,0
2216838047,0,negative,0,Balasi,Wed Jun 17 20:02:12 PDT 2009,2009-06-17 20:02:12,2009,6,20,I am craving for japanese food ,I am craving for japanese food,31,6,0,0,0
1880666283,0,negative,0,djrickdawson,Fri May 22 02:03:31 PDT 2009,2009-05-22 02:03:31,2009,5,2,Jean Michel Jarre concert tomorrow  gotta work 7-3 before though ,Jean Michel Jarre concert tomorrow gotta work 7-3 before though,65,10,0,0,0
2298885807,0,negative,0,blinkxxatl,Tue Jun 23 12:14:03 PDT 2009,2009-06-23 12:14:03,2009,6,12,@xPowxBangxBoomx dammiitt!! i wish i had MTV ,dammiitt!! i wish i had MTV,45,7,1,0,0
2014269923,0,negative,0,BlackCat_Saya,Wed Jun 03 00:59:10 PDT 2009,2009-06-03 00:59:10,2009,6,0,@Rohan_01 You know..it's really sad that u know that ur classmate don't care about you..        sad memories T.T,You know..it's really sad that u know that ur classmate don't care about you.. sad memories T.T,112,18,1,0,0
1984898930,0,negative,0,OhSunshine_,Sun May 31 16:01:45 PDT 2009,2009-05-31 16:01:45,2009,5,16,@FaketragedyCom i know ,i know,23,3,1,0,0
2232741622,0,negative,0,SLeepdepD,Thu Jun 18 20:19:48 PDT 2009,2009-06-18 20:19:48,2009,6,20,@JudahGabriel i wish i had that much to say ,i wish i had that much to say,44,9,1,0,0
2191270369,0,negative,0,vanessachelsea,Tue Jun 16 04:54:54 PDT 2009,2009-06-16 04:54:54,2009,6,4,"ow, i can't move my neck or my back   hurts too much and i don't know why D:","ow, i can't move my neck or my back hurts too much and i don't know why D:",76,18,0,0,0
1680803339,0,negative,0,bl00dline,Sat May 02 12:31:57 PDT 2009,2009-05-02 12:31:57,2009,5,12,I.....want to.......go........home........ ,I.....want to.......go........home........,43,2,0,0,0
2187289677,0,negative,0,manderrs,Mon Jun 15 20:04:00 PDT 2009,2009-06-15 20:04:00,2009,6,20,"reading a few chapters of choke, sleep, work. i still feel like shit. ","reading a few chapters of choke, sleep, work. i still feel like shit.",70,13,0,0,0
2261441236,0,negative,0,DiyanaRazinah,Sat Jun 20 20:47:47 PDT 2009,2009-06-20 20:47:47,2009,6,20,"@f_nadzirah cant sleep,go online! hahaha @bobbyden and @faidchong misses you too ","cant sleep,go online! hahaha and misses you too",81,11,1,0,0
