ID,age,Education,education_level,Marital_Status,Income,Kidhome,Teenhome,household_size,Dt_Customer,tenure_days,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,total_spend,campaign_type,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumDealsPurchases,total_purchases,dominant_channel,ch_catalog,ch_deals,ch_store,ch_web,AcceptedCmp1,AcceptedCmp2,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,Response,campaign_acceptance_count,engagement_rate,NumWebVisitsMonth,Complain
5524,67,Graduation,2,Single,58138.0,0,0,1,2012-09-04,4136,58,635,88,546,172,88,88,1617,high_value,8,10,4,3,25,catalog,True,False,False,False,0,0,0,0,0,1,1,0.16666666666666666,7,0
2174,70,Graduation,2,Single,46344.0,1,1,3,2014-03-08,3586,38,11,1,6,2,1,6,27,low_value,1,1,2,2,6,store,False,False,True,False,0,0,0,0,0,0,0,0.0,5,0
4141,59,Graduation,2,Together,71613.0,0,0,1,2013-08-21,3785,26,426,49,127,111,21,42,776,mid_value,8,2,10,1,21,store,False,False,True,False,0,0,0,0,0,0,0,0.0,4,0
6182,40,Graduation,2,Together,26646.0,1,0,2,2014-02-10,3612,26,11,4,20,10,3,5,53,low_value,2,0,4,2,8,store,False,False,True,False,0,0,0,0,0,0,0,0.0,6,0
5324,43,Phd,4,Married,58293.0,1,0,2,2014-01-19,3634,94,173,43,118,46,27,15,422,mid_value,5,3,6,5,19,store,False,False,True,False,0,0,0,0,0,0,0,0.0,5,0
7446,57,Master,3,Together,62513.0,0,1,2,2013-09-09,3766,16,520,42,98,0,42,14,716,mid_value,6,4,10,2,22,store,False,False,True,False,0,0,0,0,0,0,0,0.0,6,0
965,53,Graduation,2,Divorced,55635.0,0,1,2,2012-11-13,4066,34,235,65,164,50,49,27,590,mid_value,7,3,7,4,21,web,False,False,False,True,0,0,0,0,0,0,0,0.0,6,0
6177,39,Phd,4,Married,33454.0,1,0,2,2013-05-08,3890,32,76,10,56,3,1,23,169,mid_value,4,0,4,2,10,web,False,False,False,True,0,0,0,0,0,0,0,0.0,8,0
4855,50,Phd,4,Together,30351.0,1,0,2,2013-06-06,3861,19,14,0,24,3,3,2,46,low_value,3,0,2,1,6,web,False,False,False,True,0,0,0,0,0,1,1,0.16666666666666666,9,0
5899,74,Phd,4,Together,5648.0,1,1,3,2014-03-13,3581,68,28,0,6,1,1,13,49,low_value,1,0,0,1,2,web,False,False,False,True,0,0,1,0,0,0,1,0.16666666666666666,20,0
387,48,Basic,0,Married,7500.0,0,0,1,2012-11-13,4066,59,6,16,11,11,1,16,61,low_value,2,0,3,1,6,store,False,False,True,False,0,0,0,0,0,0,0,0.0,8,0
2125,65,Graduation,2,Divorced,63033.0,0,0,1,2013-11-15,3699,82,194,61,480,225,112,30,1102,high_value,3,4,8,1,16,store,False,False,True,False,0,0,0,0,0,0,0,0.0,2,0
8180,72,Master,3,Divorced,59354.0,1,1,3,2013-11-15,3699,53,233,2,53,3,5,14,310,mid_value,6,1,5,3,15,web,False,False,False,True,0,0,0,0,0,0,0,0.0,6,0
2569,37,Graduation,2,Married,17323.0,0,0,1,2012-10-10,4100,38,3,14,17,6,1,5,46,low_value,1,0,3,1,5,store,False,False,True,False,0,0,0,0,0,0,0,0.0,8,0
2114,78,Phd,4,Single,82800.0,0,0,1,2012-11-24,4055,23,1006,22,115,59,68,45,1315,high_value,7,6,12,1,26,store,False,False,True,False,1,0,0,0,1,1,3,0.5,3,0
9736,44,Graduation,2,Married,41850.0,1,1,3,2012-12-24,4025,51,53,5,19,2,13,4,96,low_value,3,0,3,3,9,web,False,False,False,True,0,0,0,0,0,0,0,0.0,8,0
4939,78,Graduation,2,Together,37760.0,0,0,1,2012-08-31,4140,20,84,5,38,150,12,28,317,mid_value,4,1,6,2,13,store,False,False,True,False,0,0,0,0,0,0,0,0.0,7,0
6565,75,Master,3,Married,76995.0,0,1,2,2013-03-28,3931,91,1012,80,498,0,16,176,1782,high_value,11,4,9,2,26,web,False,False,False,True,1,0,0,0,0,0,1,0.16666666666666666,5,0
2278,39,2N Cycle,1,Single,33812.0,1,0,2,2012-11-03,4076,86,4,17,19,30,24,39,133,mid_value,2,1,3,2,8,store,False,False,True,False,0,0,0,0,0,0,0,0.0,6,0
9360,42,Graduation,2,Married,37040.0,0,0,1,2012-08-08,4163,41,86,2,73,69,38,48,316,mid_value,4,2,5,1,12,store,False,False,True,False,0,0,0,0,0,0,0,0.0,8,0
5376,45,Graduation,2,Married,2447.0,1,0,2,2013-01-06,4012,42,1,1,1725,1,1,1,1730,high_value,0,28,0,15,43,catalog,True,False,False,False,0,0,0,0,0,0,0,0.0,1,0
1993,75,Phd,4,Married,58607.0,0,1,2,2012-12-23,4026,63,867,0,86,0,0,19,972,high_value,2,3,9,3,17,store,False,False,True,False,0,0,0,1,0,0,1,0.16666666666666666,8,0
