Campaign_ID,Channel_Used,Campaign_Goal,Customer_Segment,Target_Audience,gender,age_group,Duration,duration_days,Date,Clicks,Impressions,ctr,Conversion_Rate,Engagement_Score,engagement_tier,acquisition_cost,cost_per_click,ROI,Location,Language,Company
270844,Instagram,Market Expansion,Home,Men 18-24,Men,18-24,60 Days,60,2022-06-19,38210,114699,0.33313280848132937,0.05,6,mid,14859.72,0.388896100497252,0.09,Los Angeles,Spanish,Furnish Fine
584408,Instagram,Brand Awareness,Fashion,Women 25-34,Women,25-34,45 Days,45,2022-04-17,23689,71687,0.33045043034301896,0.14,2,low,9021.94,0.38084933935581916,5.78,Los Angeles,French,Vogue Visions
638627,Instagram,Product Launch,Fashion,Women 45-60,Women,45-60,60 Days,60,2022-07-05,33482,100694,0.332512364192504,0.09,1,low,12651.57,0.3778618362105012,5.92,Miami,Spanish,Vogue Visions
908979,Instagram,Increase Sales,Home,Women 35-44,Women,35-44,15 Days,15,2022-09-23,6129,19675,0.3115120711562897,0.04,1,low,2507.05,0.409047152879752,5.17,Los Angeles,English,Domestic Dream
944834,Instagram,Product Launch,Technology,Women 18-24,Women,18-24,30 Days,30,2022-07-30,18833,57303,0.3286564403259864,0.11,5,mid,7234.09,0.38411777199596453,5.21,Los Angeles,Spanish,Cyber Circuit
811423,Instagram,Market Expansion,Food,Women 18-24,Women,18-24,60 Days,60,2022-07-08,34639,104121,0.3326802470202937,0.11,3,mid,13105.59,0.37834781604549783,0.71,Los Angeles,English,Gastronomy Guild
295724,Instagram,Increase Sales,Technology,Men 18-24,Men,18-24,15 Days,15,2022-10-24,1750,6703,0.26107712964344326,0.1,1,low,500.0,0.2857142857142857,3.12,Los Angeles,English,Gadget Giants
731307,Instagram,Brand Awareness,Technology,Men 45-60,Men,45-60,45 Days,45,2022-06-10,28203,85057,0.3315776479302115,0.02,6,mid,10677.82,0.3786058220756657,4.2,Austin,French,Code Crafters
311283,Instagram,Market Expansion,Home,Women 35-44,Women,35-44,60 Days,60,2022-06-25,35587,106930,0.3328065089310764,0.11,5,mid,13504.56,0.3794801472447804,6.22,Las Vegas,English,Hearth Harmony
110506,Instagram,Product Launch,Home,Women 45-60,Women,45-60,15 Days,15,2022-05-29,629,3382,0.1859846244825547,0.14,10,high,500.0,0.794912559618442,5.95,New York,Spanish,Dwell Delight
178133,Instagram,Market Expansion,Technology,Men 25-34,Men,25-34,15 Days,15,2022-11-29,8550,26846,0.31848320047679357,0.04,5,mid,3449.16,0.40341052631578944,4.01,Las Vegas,English,Giga Geeks
316945,Instagram,Market Expansion,Fashion,All Ages,,,60 Days,60,2022-09-09,30216,91020,0.3319709953856295,0.11,10,high,11418.56,0.37789780248874766,1.32,Las Vegas,French,Trend Tailors
670352,Instagram,Brand Awareness,Fashion,Men 35-44,Men,35-44,60 Days,60,2022-05-30,36435,109443,0.33291302321756533,0.09,8,high,13889.38,0.3812098257170303,4.48,New York,English,Vogue Visions
387062,Instagram,Market Expansion,Technology,Women 35-44,Women,35-44,15 Days,15,2022-10-03,8235,25913,0.31779415737274724,0.07,7,high,3327.82,0.40410686095931997,1.67,Las Vegas,French,Quantum Quirks
123364,Instagram,Brand Awareness,Food,Women 25-34,Women,25-34,15 Days,15,2022-01-25,3963,13258,0.29891386332780207,0.07,1,low,1574.58,0.3973202119606359,7.38,Las Vegas,Spanish,Gastronomy Guild
695104,Instagram,Brand Awareness,Food,Women 45-60,Women,45-60,45 Days,45,2022-07-01,21626,65578,0.3297752294976974,0.14,9,high,8259.78,0.3819374826597614,4.7,Los Angeles,Spanish,Epicurean Edge
